Language name,Language family,Concept,Word written in corresponding language,Number of senses,Synonyms number,Sense_1,Sense_2,Sense_3,Sense_4,Sense_5,Sense_6,Sense_7,Sense_8,Sense_9,Sense_10,Sense_11,Sense_12,Sense_13,Sense_14,Sense_15,Sense_16,Sense_17,Sense_18,Sense_19,Sense_20,Sense_21,,,,
Basque,language isolate,sleep,lo,2,0 ,Asleep,Sleep,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,small,txiki,9,0 ,Far,Humble Form,Insignificant,Little,Low,Shallow,Short,Small,Young,,,,,,,,,,,,,,,,
Basque,language isolate,square,lauki,6,0 ,Clear,Part,Quadrangular,Quadruplet,Simply,Square,,,,,,,,,,,,,,,,,,,
Basque,language isolate,stand,zutik,3,0 ,Erect,Stand,Upright,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,stone,harri,1,0 ,Stone,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,sun,eguzki,4,0 ,Solar,Sun,Sunny,"Sunshine,Sunlight",,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,that,hori,3,0 ,That,Which,You,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,this,hau,1,0 ,This,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,three,hiru,1,0 ,Three,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,tree,zuhaitz,1,0 ,Tree,,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,two,bi,2,0 ,Both,Two,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,water,ur,2,0 ,Juice,Water,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,what,zer,2,0 ,Something,What,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,white,zuri,10,0 ,Cleared Land,False,For You,Target,To You,Wheedling,White,White People,White Wine,Workshy,,,,,,,,,,,,,,,
Basque,language isolate,who,nor,4,0 ,Each,Someone,Who,"Whoerver,Anybody",,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,woman,emakume,3,0 ,Lady,Woman,Woman'S,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,you,hi,1,0 ,You,,,,,,,,,,,,,,,,,,,,,,,,
Bengali,Indo-European,bad,asādhu,4,0 ,Bad,Corrupt,"Debased,Evil, Wicked",Dishonest,,,,,,,,,,,,,,,,,,,,,
Bengali,Indo-European,big,"baṛa,baṛo",19,2 ,Big,Competitive,"Elder,Older",Eldest,"Elevated,Eminent",Fat,"Great,Superior",High,Length,Lengthy,Long,Loud,Magnanimous,Noble,Respectable/ Noble,Rich,Severe,Too Much,Very,,,,,,
Bengali,Indo-European,big,baṛa/ baṛo,1,2 ,Respectable/ Noble,,,,,,,,,,,,,,,,,,,,,,,,
